,i,name,SMILES
1707,1707,SC4H9O2(186) + H2(13) <=> SC4H9O2H(187) + H(14),CCC(C)O[O]+[H][H]_CCC(C)OO+[H]
1708,1708,C2H6(32) + SC4H9O2(186) <=> SC4H9O2H(187) + C2H5(33),CC+CCC(C)O[O]_CCC(C)OO+C[CH2]
1709,1709,C3H6(12) + SC4H9O2(186) <=> SC4H9O2H(187) + C3H5-A(94),C=CC+CCC(C)O[O]_CCC(C)OO+[CH2]C=C
1710,1710,C2H4(11) + SC4H9O2(186) <=> SC4H9O2H(187) + C2H3(22),C=C+CCC(C)O[O]_CCC(C)OO+[CH]=C
1711,1711,CH4(10) + SC4H9O2(186) <=> SC4H9O2H(187) + CH3(18),C+CCC(C)O[O]_CCC(C)OO+[CH3]
1712,1712,SC4H9O2(186) + H2O2(17) <=> SC4H9O2H(187) + HO2(16),CCC(C)O[O]+OO_CCC(C)OO+[O]O
1713,1713,SC4H9O(217) + OH(15) <=> SC4H9O2H(187),CCC(C)[O]+[OH]_CCC(C)OO
1714,1714,butane(1) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + SC4H9(183),CCCC+[CH2]CC(C)OO_CCC(C)OO+C[CH]CC
1715,1715,butane(1) + C4H8OOH2-4(223) <=> SC4H9O2H(187) + PC4H9(182),CCCC+[CH2]CC(C)OO_CCC(C)OO+[CH2]CCC
1716,1716,SC4H9O2H(187) + OH(15) <=> SC4H9O2(186) + H2O(8),CCC(C)OO+[OH]_CCC(C)O[O]+O
1717,1717,SC4H9O2H(187) + C4H71-4(191) <=> C4H8-1(188) + SC4H9O2(186),CCC(C)OO+[CH2]CC=C_C=CCC+CCC(C)O[O]
1718,1718,SC4H9O2H(187) + C4H71-1(192) <=> C4H8-1(188) + SC4H9O2(186),CCC(C)OO+[CH]=CCC_C=CCC+CCC(C)O[O]
1719,1719,SC4H9O2H(187) + CH2CHO(21) <=> CH3CHO(35) + SC4H9O2(186),CCC(C)OO+[CH2]C=O_CC=O+CCC(C)O[O]
