,i,name,SMILES
2421,2421,C2H3CO(75) + [CH2]C[CH2](688) <=> C2H3CHO(74) + C3H5-A(94),C=C[C]=O+[CH2]C[CH2]_C=CC=O+[CH2]C=C
2422,2422,C2H3CO(75) + C3H6(12) <=> C2H3CHO(74) + C3H5-A(94),C=CC+C=C[C]=O_C=CC=O+[CH2]C=C
2423,2423,C2H3CO(75) + [CH2]C[CH]C(748) <=> C2H3CHO(74) + C4H71-3(190),C=C[C]=O+[CH2]C[CH]C_C=CC=O+C=C[CH]C
2424,2424,C2H3CO(75) + C4H8-1(188) <=> C2H3CHO(74) + C4H71-3(190),C=CCC+C=C[C]=O_C=CC=O+C=C[CH]C
2425,2425,C2H3CO(75) + C4H8-2(189) <=> C2H3CHO(74) + C4H71-3(190),C=C[C]=O+CC=CC_C=CC=O+C=C[CH]C
2426,2426,C2H3CO(75) + C4H71-4(191) <=> C2H3CHO(74) + C4H6(194),C=C[C]=O+[CH2]CC=C_C=CC=C+C=CC=O
2427,2427,C2H3CO(75) + C4H71-3(190) <=> C2H3CHO(74) + C4H6(194),C=C[CH]C+C=C[C]=O_C=CC=C+C=CC=O
2428,2428,C2H3CO(75) + C3H5O(129) <=> C2H3CHO(74) + C2H3CHO(74),C=CC[O]+C=C[C]=O_C=CC=O+C=CC=O
2429,2429,C2H3CHO(74) <=> H(14) + C2H3CO(75),C=CC=O_C=C[C]=O+[H]
2430,2430,C2H3CHO(74) + C2H3CHO(74) <=> C2H3CO(75) + C3H5O(129),C=CC=O+C=CC=O_C=CC[O]+C=C[C]=O
2431,2431,C2H3CO(75) + CC(CC[O])OO(777) <=> C2H3CHO(74) + NC4KET13(252),C=C[C]=O+CC(CC[O])OO_C=CC=O+CC(CC=O)OO
2432,2432,C2H3CO(75) + C3KET21(73) <=> C2H3CHO(74) + CH3COCH2O2(72),C=C[C]=O+CC(=O)COO_C=CC=O+CC(=O)CO[O]
2433,2433,C2H3CO(75) + CC(CCOO)OO(787) <=> C2H3CHO(74) + C4H8OOH2-4O2(229),C=C[C]=O+CC(CCOO)OO_C=CC=O+CC(CCO[O])OO
2434,2434,C2H3CO(75) + CC(CCOO)OO(787) <=> C2H3CHO(74) + C4H8OOH1-3O2(225),C=C[C]=O+CC(CCOO)OO_C=CC=O+CC(CCOO)O[O]
2435,2435,C2H3CHO(74) + [CH2]C(=O)COO(911) <=> C2H3CO(75) + C3KET21(73),C=CC=O+[CH2]C(=O)COO_C=C[C]=O+CC(=O)COO
2436,2436,C2H3CHO(74) + PC4H9(182) <=> C2H3CO(75) + butane(1),C=CC=O+[CH2]CCC_C=C[C]=O+CCCC
2437,2437,CH2O(9) + C2H3CO(75) <=> HCO(19) + C2H3CHO(74),C=C[C]=O+C=O_C=CC=O+[CH]=O
2438,2438,C2H3CO(75) + [CH2]C[CH]C(748) <=> C2H3CHO(74) + C4H71-4(191),C=C[C]=O+[CH2]C[CH]C_C=CC=O+[CH2]CC=C
2439,2439,C2H3CHO(74) + C4H71-4(191) <=> C2H3CO(75) + C4H8-1(188),C=CC=O+[CH2]CC=C_C=CCC+C=C[C]=O
2440,2440,CH3CHO(35) + C2H3CO(75) <=> CH3CO(20) + C2H3CHO(74),C=C[C]=O+CC=O_C=CC=O+C[C]=O
2441,2441,CO2(7) + C2H3CHO(74) <=> OCHO(38) + C2H3CO(75),C=CC=O+O=C=O_C=C[C]=O+[O]C=O
2442,2442,[CH2]C(O)C=O(5659) <=> H2O(8) + C2H3CO(75),[CH2]C(O)C=O_C=C[C]=O+O
2443,2443,CO(6) + PC2H4OH(59) <=> H2O(8) + C2H3CO(75),[CH2]CO+[C-]#[O+]_C=C[C]=O+O
2444,2444,PC2H4OH(59) + C2H3CO(75) <=> C2H3OH(58) + C2H3CHO(74),C=C[C]=O+[CH2]CO_C=CC=O+C=CO
2445,2445,HCO(19) + C2H3OH(58) <=> H2O(8) + C2H3CO(75),C=CO+[CH]=O_C=C[C]=O+O
2446,2446,HCCO(27) + C2H3CHO(74) <=> CH2CO(24) + C2H3CO(75),C#C[O]+C=CC=O_C=C=O+C=C[C]=O
2447,2447,C2H3CHO(74) + C4H71-1(192) <=> C2H3CO(75) + C4H8-1(188),C=CC=O+[CH]=CCC_C=CCC+C=C[C]=O
2448,2448,OCHO(38) + C2H3CHO(74) <=> HOCHO(40) + C2H3CO(75),C=CC=O+[O]C=O_C=C[C]=O+O=CO
2449,2449,CH2OH(34) + C2H3CHO(74) <=> CH3OH(30) + C2H3CO(75),C=CC=O+[CH2]O_C=C[C]=O+CO
2450,2450,C2H3CO(75) <=> CH2(23) + HCCO(27),C=C[C]=O_C#C[O]+[CH2]
2451,2451,"OH(15) + CC(CCOO)OO(787) <=> H2O(8) + C4H72-2,4OOH(244)",CC(CCOO)OO+[OH]_C[C](CCOO)OO+O
2452,2452,"OH(15) + CC(CCOO)OO(787) <=> H2O(8) + C4H71-1,3OOH(238)",CC(CCOO)OO+[OH]_CC(C[CH]OO)OO+O
2453,2453,O2(2) + C2H3CO(75) <=> C=CC(=O)O[O](13050),C=C[C]=O+[O][O]_C=CC(=O)O[O]
2454,2454,C=CC(=O)O[O](13050) <=> CO2(7) + CH2CHO(21),C=CC(=O)O[O]_O=C=O+[CH2]C=O
2455,2455,PC2H4OH(59) + [CH2]C[CH2](688) <=> C2H3OH(58) + NC3H7(92),[CH2]CO+[CH2]C[CH2]_C=CO+[CH2]CC
2456,2456,PC2H4OH(59) + [CH2]C=C[CH2](2534) <=> C2H3OH(58) + C4H71-4(191),[CH2]C=C[CH2]+[CH2]CO_C=CO+[CH2]CC=C
2457,2457,CH2CHO(21) + [CH2]C[CH]C(748) <=> C2H3OH(58) + C4H71-4(191),[CH2]C=O+[CH2]C[CH]C_C=CO+[CH2]CC=C
2458,2458,CO2(7) + SC3H5OH(135) <=> HOCHO(40) + C2H3CHO(74),CC=CO+O=C=O_C=CC=O+O=CO
2459,2459,CO2(7) + C4H8-2(189) <=> HCO(19) + C4H7O(202),CC=CC+O=C=O_C=CC(C)[O]+[CH]=O
2460,2460,CO2(7) + C4H8-2(189) <=> HOCHO(40) + C4H6(194),CC=CC+O=C=O_C=CC=C+O=CO
2461,2461,O(5) + C3H5OH(133) <=> OH(15) + C3H5O(129),C=CCO+[O]_C=CC[O]+[OH]
2462,2462,C2H2(25) + CH2CO(24) <=> HCCO(27) + C2H3(22),C#C+C=C=O_C#C[O]+[CH]=C
2463,2463,O2(2) + OH(15) <=> O=O(694) + OH(15),[OH]+[O][O]_O=O+[OH]
2464,2464,O(5) + HO2(16) <=> O=O(694) + OH(15),[O]+[O]O_O=O+[OH]
2465,2465,CH3COCH2O2(72) <=> O=O(694) + CH3COCH2(70),CC(=O)CO[O]_O=O+[CH2]C(C)=O
2466,2466,[CH2]C(=O)COO(911) <=> O=O(694) + CH3COCH2(70),[CH2]C(=O)COO_O=O+[CH2]C(C)=O
2467,2467,CO(6) + C2H5O2(47) <=> O=O(694) + CH3COCH2(70),CCO[O]+[C-]#[O+]_O=O+[CH2]C(C)=O
2468,2468,OH(15) + O=C1COC1(917) <=> O=O(694) + CH3COCH2(70),O=C1COC1+[OH]_O=O+[CH2]C(C)=O
2469,2469,HO2(16) + C3H5-A(94) <=> O=O(694) + C3H6(12),[CH2]C=C+[O]O_C=CC+O=O
2470,2470,O=O(694) <=> O2(2),O=O_[O][O]
2471,2471,C2H5(33) + IC3H7(93) <=> C3H8 + C2H4(11),C[CH2]+C[CH]C_C=C+CCC
2472,2472,C2H5(33) + C4H9 <=> C4H10 + C2H4(11),C[CH2]+C[C](C)C_C=C+CC(C)C
2473,2473,C2H3S + NC3H7(92) <=> C2H4S + C3H6(12),[CH2]CC+[S]C=C_C=CC+SC=C
2474,2474,C4H71-3(190) + C2H5S <=> C4H8-1(188) + C2H4S-2,C=C[CH]C+CC[S]_C=CCC+CC=S
2475,2475,C5H7 + C2H5S <=> C5H8 + C2H4S-2,C=C[CH]C=C+CC[S]_C=CCC=C+CC=S
2476,2476,C2H3S + C4H9-2 <=> C2H4S + C4H8-2,[CH2]C(C)C+[S]C=C_C=C(C)C+SC=C
2477,2477,C4H9-2 + CH3S <=> CH4S + C4H8-2,C[S]+[CH2]C(C)C_C=C(C)C+CS
2478,2478,NC3H7(92) + IC3H7(93) <=> C3H8 + C3H6(12),C[CH]C+[CH2]CC_C=CC+CCC
2479,2479,NC3H7(92) + C4H9 <=> C4H10 + C3H6(12),C[C](C)C+[CH2]CC_C=CC+CC(C)C
2480,2480,HS2 + C5H9 <=> H2S2 + C5H8-2,C=C[CH]CC+[S]S_C=CC=CC+SS
2481,2481,HS2 + CH3S-2 <=> H2S2 + CH2S,[CH2]S+[S]S_C=S+SS
2482,2482,C4H9-2 + O2(2) <=> HO2(16) + C4H8-2,[CH2]C(C)C+[O][O]_C=C(C)C+[O]O
2483,2483,C2H(4) + C4H9-2 <=> C2H2(25) + C4H8-2,[CH2]C(C)C+[C]#C_C#C+C=C(C)C
2484,2484,H(14) + C4H9-2 <=> H2(13) + C4H8-2,[CH2]C(C)C+[H]_C=C(C)C+[H][H]
2485,2485,CH3(18) + C4H9-2 <=> CH4(10) + C4H8-2,[CH2]C(C)C+[CH3]_C+C=C(C)C
2486,2486,C4H9-2 + C2H5(33) <=> C2H6(32) + C4H8-2,C[CH2]+[CH2]C(C)C_C=C(C)C+CC
2487,2487,CH2OH(34) + C4H9-2 <=> CH3OH(30) + C4H8-2,[CH2]C(C)C+[CH2]O_C=C(C)C+CO
2488,2488,C3H5-A(94) + C4H9-2 <=> C3H6(12) + C4H8-2,[CH2]C(C)C+[CH2]C=C_C=C(C)C+C=CC
2489,2489,C4H9-2 + IC3H7(93) <=> C3H8 + C4H8-2,C[CH]C+[CH2]C(C)C_C=C(C)C+CCC
2490,2490,C4H9-2 + C4H9 <=> C4H10 + C4H8-2,C[C](C)C+[CH2]C(C)C_C=C(C)C+CC(C)C
2491,2491,C2H3(22) + C4H9-2 <=> C2H4(11) + C4H8-2,[CH2]C(C)C+[CH]=C_C=C+C=C(C)C
2492,2492,OH(15) + C4H9-2 <=> H2O(8) + C4H8-2,[CH2]C(C)C+[OH]_C=C(C)C+O
2493,2493,C3H5-A(94) + O2(2) <=> HO2(16) + C3H4,[CH2]C=C+[O][O]_C=C=C+[O]O
2494,2494,CH3(18) + C3H5-A(94) <=> CH4(10) + C3H4,[CH2]C=C+[CH3]_C+C=C=C
2495,2495,C3H5-A(94) + C2H5(33) <=> C2H6(32) + C3H4,C[CH2]+[CH2]C=C_C=C=C+CC
2496,2496,C3H5-A(94) + C3H5-A(94) <=> C3H6(12) + C3H4,[CH2]C=C+[CH2]C=C_C=C=C+C=CC
2497,2497,C3H5-A(94) + IC3H7(93) <=> C3H8 + C3H4,C[CH]C+[CH2]C=C_C=C=C+CCC
2498,2498,C3H5-A(94) + C4H9 <=> C4H10 + C3H4,C[C](C)C+[CH2]C=C_C=C=C+CC(C)C
2499,2499,C2H3(22) + C3H5-A(94) <=> C2H4(11) + C3H4,[CH2]C=C+[CH]=C_C=C+C=C=C
2500,2500,OH(15) + C3H5-A(94) <=> H2O(8) + C3H4,[CH2]C=C+[OH]_C=C=C+O
2501,2501,CH2OH(34) + IC3H7(93) <=> C3H8 + CH2O(9),C[CH]C+[CH2]O_C=O+CCC
2502,2502,CH2OH(34) + C4H9 <=> C4H10 + CH2O(9),C[C](C)C+[CH2]O_C=O+CC(C)C
2503,2503,CH3S + CH3S <=> CH4S + CH2S,C[S]+C[S]_C=S+CS
2504,2504,C2H5S-2 + NC3H7(92) <=> C2H6S + C3H6(12),C[CH]S+[CH2]CC_C=CC+CCS
2505,2505,C4H9-2 + O2(2) <=> HO2(16) + C4H8-2,[CH2]C(C)C+[O][O]_C=C(C)C+[O]O
2506,2506,C5H9-2 + O2(2) <=> HO2(16) + C5H8-3,[CH2]C(C)C=C+[O][O]_C=CC(=C)C+[O]O
2507,2507,C6H9 + O2(2) <=> HO2(16) + C6H8,[CH2]C(C=C)C=C+[O][O]_C=CC(=C)C=C+[O]O
2508,2508,HO2(16) + H2N <=> H3N + O=O(694),[NH2]+[O]O_N+O=O
2509,2509,HN2 + O2(2) <=> HO2(16) + N2,[N]=N+[O][O]_N#N+[O]O
2510,2510,H(14) + HN2 <=> H2(13) + N2,[H]+[N]=N_N#N+[H][H]
2511,2511,OH(15) + HN2 <=> H2O(8) + N2,[N]=N+[OH]_N#N+O
2512,2512,HN2 + O(5) <=> OH(15) + N2,[N]=N+[O]_N#N+[OH]
2513,2513,H2N + HN2 <=> H3N + N2,[NH2]+[N]=N_N+N#N
2514,2514,HO2(16) + HN2 <=> H2O2(17) + N2,[N]=N+[O]O_N#N+OO
2515,2515,HN2 + NO <=> HNO + N2,[N]=N+[N]=O_N#N+N=O
2516,2516,H(14) + H2N2 <=> H2(13) + HN2,[H]+[N]N_[H][H]+[N]=N
2517,2517,H2N2 + O(5) <=> OH(15) + HN2,[N]N+[O]_[N]=N+[OH]
2518,2518,OH(15) + H2N2 <=> H2O(8) + HN2,[N]N+[OH]_O+[N]=N
2519,2519,H2N2 + CH3(18) <=> CH4(10) + HN2,[CH3]+[N]N_C+[N]=N
2520,2520,H2N + H2N2 <=> H3N + HN2,[NH2]+[N]N_N+[N]=N
2521,2521,HO2(16) + H2N2 <=> H2O2(17) + HN2,[N]N+[O]O_OO+[N]=N
2522,2522,H(14) + H3N2 <=> H2(13) + H2N2-2,[H]+[NH]N_N=N+[H][H]
2523,2523,H3N2 + O(5) <=> OH(15) + H2N2-2,[NH]N+[O]_N=N+[OH]
2524,2524,OH(15) + H3N2 <=> H2O(8) + H2N2-2,[NH]N+[OH]_N=N+O
2525,2525,H3N2 + CH3(18) <=> CH4(10) + H2N2-2,[CH3]+[NH]N_C+N=N
2526,2526,H2N + H3N2 <=> H3N + H2N2-2,[NH2]+[NH]N_N+N=N
2527,2527,HO2(16) + H3N2 <=> H2O2(17) + H2N2-2,[NH]N+[O]O_N=N+OO
2528,2528,HO2(16) + H3N2 <=> H4N2 + O=O(694),[NH]N+[O]O_NN+O=O
2529,2529,H(14) + H2NO <=> H2(13) + HNO,N[O]+[H]_N=O+[H][H]
2530,2530,H2NO + O(5) <=> OH(15) + HNO,N[O]+[O]_N=O+[OH]
2531,2531,OH(15) + H2NO <=> H2O(8) + HNO,N[O]+[OH]_N=O+O
2532,2532,H2NO + CH3(18) <=> CH4(10) + HNO,N[O]+[CH3]_C+N=O
2533,2533,H2N + H2NO <=> H3N + HNO,N[O]+[NH2]_N+N=O
2534,2534,HO2(16) + H2NO <=> H2O2(17) + HNO,N[O]+[O]O_N=O+OO
2535,2535,HO2(16) + H2NO <=> H3NO + O=O(694),N[O]+[O]O_NO+O=O
2536,2536,H(14) + H2NO-3 <=> H2(13) + HNO,[H]+[NH]O_N=O+[H][H]
2537,2537,H2NO-3 + O(5) <=> OH(15) + HNO,[NH]O+[O]_N=O+[OH]
2538,2538,OH(15) + H2NO-3 <=> H2O(8) + HNO,[NH]O+[OH]_N=O+O
2539,2539,H2NO-3 + CH3(18) <=> CH4(10) + HNO,[CH3]+[NH]O_C+N=O
2540,2540,H2N + H2NO-3 <=> H3N + HNO,[NH2]+[NH]O_N+N=O
2541,2541,HO2(16) + H2NO-3 <=> H2O2(17) + HNO,[NH]O+[O]O_N=O+OO
2542,2542,HO2(16) + H2NO-3 <=> H3NO + O=O(694),[NH]O+[O]O_NO+O=O
2543,2543,HO2(16) + CH2N <=> H2O2(17) + CHN,C=[N]+[O]O_C#N+OO
2544,2544,HO2(16) + CH2N <=> CH3N + O=O(694),C=[N]+[O]O_C=N+O=O
2545,2545,CH3(18) + CH2N <=> CH4(10) + CHN,C=[N]+[CH3]_C+C#N
2546,2546,OH(15) + CH2N <=> H2O(8) + CHN,C=[N]+[OH]_C#N+O
2547,2547,H(14) + CH2N <=> H2(13) + CHN,C=[N]+[H]_C#N+[H][H]
2548,2548,H2N + CH2N <=> H3N + CHN,C=[N]+[NH2]_C#N+N
2549,2549,CH2N + O(5) <=> OH(15) + CHN,C=[N]+[O]_C#N+[OH]
2550,2550,H(14) + CH2N-3 <=> H2(13) + CHN,[CH]=N+[H]_C#N+[H][H]
2551,2551,CH2N-3 + O(5) <=> OH(15) + CHN,[CH]=N+[O]_C#N+[OH]
2552,2552,OH(15) + CH2N-3 <=> H2O(8) + CHN,[CH]=N+[OH]_C#N+O
2553,2553,CH2N-3 + CH3(18) <=> CH4(10) + CHN,[CH3]+[CH]=N_C+C#N
2554,2554,H(14) + CH4N <=> H2(13) + CH3N,C[NH]+[H]_C=N+[H][H]
2555,2555,CH4N + O(5) <=> OH(15) + CH3N,C[NH]+[O]_C=N+[OH]
2556,2556,OH(15) + CH4N <=> H2O(8) + CH3N,C[NH]+[OH]_C=N+O
2557,2557,CH4N + CH3(18) <=> CH4(10) + CH3N,C[NH]+[CH3]_C+C=N
2558,2558,H(14) + CH4N-2 <=> H2(13) + CH3N,[CH2]N+[H]_C=N+[H][H]
2559,2559,CH4N-2 + O(5) <=> OH(15) + CH3N,[CH2]N+[O]_C=N+[OH]
2560,2560,OH(15) + CH4N-2 <=> H2O(8) + CH3N,[CH2]N+[OH]_C=N+O
2561,2561,CH3(18) + CH4N-2 <=> CH4(10) + CH3N,[CH2]N+[CH3]_C+C=N
2562,2562,H(14) + CH2NO <=> H2(13) + CHNO,[H]+[O-][N+]=C_[H][H]+[O-][N+]#C
2563,2563,OH(15) + CH2NO <=> H2O(8) + CHNO,[OH]+[O-][N+]=C_O+[O-][N+]#C
2564,2564,CH3(18) + CH2NO <=> CH4(10) + CHNO,[CH3]+[O-][N+]=C_C+[O-][N+]#C
2565,2565,H2N + CH2NO <=> H3N + CHNO,[NH2]+[O-][N+]=C_N+[O-][N+]#C
2566,2566,C5H7 + C4H71-3(190) <=> C5H8 + C4H6(194),C=C[CH]C+C=C[CH]C=C_C=CC=C+C=CCC=C
2567,2567,C6H5 + C6H5 <=> C6H6 + C6H4,[c]1ccccc1+[c]1ccccc1_C1#CC=CC=C1+c1ccccc1
2568,2568,pentane(1) <=> H(14) + C5H11-2(421),CCCCC_[H]+C[CH]CCC
2569,2569,H(14) + pentane(1) <=> H2(13) + C5H11-2(421),[H]+CCCCC_[H][H]+C[CH]CCC
2570,2570,OH(15) + pentane(1) <=> H2O(8) + C5H11-2(421),[OH]+CCCCC_O+C[CH]CCC
2571,2571,O(5) + pentane(1) <=> OH(15) + C5H11-2(421),[O]+CCCCC_[OH]+C[CH]CCC
2572,2572,CH3(18) + pentane(1) <=> CH4(10) + C5H11-2(421),[CH3]+CCCCC_C+C[CH]CCC
2573,2573,HO2(16) + pentane(1) <=> H2O2(17) + C5H11-2(421),[O]O+CCCCC_OO+C[CH]CCC
2574,2574,C2H3(22) + pentane(1) <=> C2H4(11) + C5H11-2(421),[CH]=C+CCCCC_C=C+C[CH]CCC
2575,2575,O2(2) + pentane(1) <=> HO2(16) + C5H11-2(421),[O][O]+CCCCC_[O]O+C[CH]CCC
2576,2576,pentane(1) <=> H(14) + C5H11-3(422),CCCCC_[H]+CC[CH]CC
2577,2577,H(14) + pentane(1) <=> H2(13) + C5H11-3(422),[H]+CCCCC_[H][H]+CC[CH]CC
2578,2578,OH(15) + pentane(1) <=> H2O(8) + C5H11-3(422),[OH]+CCCCC_O+CC[CH]CC
2579,2579,O(5) + pentane(1) <=> OH(15) + C5H11-3(422),[O]+CCCCC_[OH]+CC[CH]CC
2580,2580,CH3(18) + pentane(1) <=> CH4(10) + C5H11-3(422),[CH3]+CCCCC_C+CC[CH]CC
2581,2581,HO2(16) + pentane(1) <=> H2O2(17) + C5H11-3(422),[O]O+CCCCC_OO+CC[CH]CC
2582,2582,C2H3(22) + pentane(1) <=> C2H4(11) + C5H11-3(422),[CH]=C+CCCCC_C=C+CC[CH]CC
2583,2583,C5H11-2(421) + pentane(1) <=> C5H11-3(422) + pentane(1),C[CH]CCC+CCCCC_CC[CH]CC+CCCCC
2584,2584,O2(2) + pentane(1) <=> HO2(16) + C5H11-3(422),[O][O]+CCCCC_[O]O+CC[CH]CC
2585,2585,C5H11-2(421) <=> C5H11-3(422),C[CH]CCC_CC[CH]CC
2586,2586,pentane(1) <=> C2H5(33) + NC3H7(92),CCCCC_C[CH2]+[CH2]CC
2587,2587,C5H11-2(421) <=> C2H5(33) + C3H6(12),C[CH]CCC_C[CH2]+C=CC
2588,2588,C2H5(33) + C5H11-3(422) <=> C2H4(11) + pentane(1),C[CH2]+CC[CH]CC_C=C+CCCCC
2589,2589,C2H5(33) + C5H11-2(421) <=> C2H4(11) + pentane(1),C[CH2]+C[CH]CCC_C=C+CCCCC
2590,2590,NC3H7(92) + C5H11-3(422) <=> C3H6(12) + pentane(1),[CH2]CC+CC[CH]CC_C=CC+CCCCC
2591,2591,NC3H7(92) + C5H11-2(421) <=> C3H6(12) + pentane(1),[CH2]CC+C[CH]CCC_C=CC+CCCCC
2592,2592,H(14) + HCO(19) <=> CH2O(9),[H]+[CH]=O_C=O
2593,2593,H(14) + C2H3(22) <=> C2H4(11),[H]+[CH]=C_C=C
2594,2594,O2(2) + C5H11-2(421) <=> C5H11O2-2(437),[O][O]+C[CH]CCC_CCCC(C)O[O]
2595,2595,HCO(19) + C5H11-3(422) <=> CO(6) + pentane(1),[CH]=O+CC[CH]CC_[C-]#[O+]+CCCCC
2596,2596,HCO(19) + C5H11-2(421) <=> CO(6) + pentane(1),[CH]=O+C[CH]CCC_[C-]#[O+]+CCCCC
2597,2597,O2(2) + C5H11-3(422) <=> C5H11O2-3(439),[O][O]+CC[CH]CC_CCC(CC)O[O]
2598,2598,C5H11O2-2(437) <=> C5H10OOH2-4(447),CCCC(C)O[O]_C[CH]CC(C)OO
2599,2599,C5H11O2-3(439) <=> C5H10OOH3-1(449),CCC(CC)O[O]_[CH2]CC(CC)OO
2600,2600,C5H11O2-2(437) <=> C5H10OOH2-5(448),CCCC(C)O[O]_[CH2]CCC(C)OO
2601,2601,C5H10OOH2-5(448) <=> C5H10OOH2-4(447),[CH2]CCC(C)OO_C[CH]CC(C)OO
2602,2602,C5H11-2(421) <=> H(14) + C5H10-2(424),C[CH]CCC_[H]+CC=CCC
2603,2603,C5H11-3(422) <=> H(14) + C5H10-2(424),CC[CH]CC_[H]+CC=CCC
2604,2604,O2(2) + C5H11-2(421) <=> HO2(16) + C5H10-2(424),[O][O]+C[CH]CCC_[O]O+CC=CCC
2605,2605,O2(2) + C5H11-3(422) <=> HO2(16) + C5H10-2(424),[O][O]+CC[CH]CC_[O]O+CC=CCC
2606,2606,C5H11O2-2(437) <=> HO2(16) + C5H10-2(424),CCCC(C)O[O]_[O]O+CC=CCC
2607,2607,C5H11O2-3(439) <=> HO2(16) + C5H10-2(424),CCC(CC)O[O]_[O]O+CC=CCC
2608,2608,HO2(16) + C5H11-2(421) <=> H2O2(17) + C5H10-2(424),[O]O+C[CH]CCC_OO+CC=CCC
2609,2609,C5H11-2(421) + C5H11-2(421) <=> C5H10-2(424) + pentane(1),C[CH]CCC+C[CH]CCC_CC=CCC+CCCCC
2610,2610,HO2(16) + C5H11-3(422) <=> H2O2(17) + C5H10-2(424),[O]O+CC[CH]CC_OO+CC=CCC
2611,2611,C5H11-3(422) + C5H11-3(422) <=> C5H10-2(424) + pentane(1),CC[CH]CC+CC[CH]CC_CC=CCC+CCCCC
2612,2612,C5H11-2(421) + C5H11-3(422) <=> C5H10-2(424) + pentane(1),C[CH]CCC+CC[CH]CC_CC=CCC+CCCCC
2613,2613,O2(2) + C5H10OOH2-4(447) <=> C5H10OOH2-4O2(463),[O][O]+C[CH]CC(C)OO_CC(CC(C)OO)O[O]
2614,2614,C5H10OOH2-4O2(463) <=> OH(15) + NC5KET24(487),CC(CC(C)OO)O[O]_[OH]+CC(=O)CC(C)OO
2615,2615,O2(2) + C5H10OOH3-1(449) <=> C5H10OOH3-1O2(465),[O][O]+[CH2]CC(CC)OO_CCC(CCO[O])OO
2616,2616,OH(15) + C5H11-2(421) <=> H2O(8) + C5H10-2(424),[OH]+C[CH]CCC_O+CC=CCC
2617,2617,OH(15) + C5H11-3(422) <=> H2O(8) + C5H10-2(424),[OH]+CC[CH]CC_O+CC=CCC
2618,2618,"C5H10OOH3-1O2(465) <=> C5H92-3,5OOH(473)",CCC(CCO[O])OO_C[CH]C(CCOO)OO
2619,2619,"C5H92-3,5OOH(473) <=> OH(15) + C5H9O2-3OOH-5(520)",C[CH]C(CCOO)OO_[OH]+CC1OC1CCOO
2620,2620,C5H10OOH2-4(447) <=> OH(15) + C5H10O2-4(456),C[CH]CC(C)OO_[OH]+CC1CC(C)O1
2621,2621,OH(15) + C5H10O2-4(456) => H2O(8) + CH3CO(20) + C3H6(12),[OH]+CC1CC(C)O1_O+C[C]=O+C=CC
2622,2622,HO2(16) + C5H10O2-4(456) => H2O2(17) + CH3CO(20) + C3H6(12),[O]O+CC1CC(C)O1_OO+C[C]=O+C=CC
2623,2623,pentane(1) <=> H(14) + C5H11-1(420),CCCCC_[H]+[CH2]CCCC
2624,2624,H(14) + pentane(1) <=> H2(13) + C5H11-1(420),[H]+CCCCC_[H][H]+[CH2]CCCC
2625,2625,OH(15) + pentane(1) <=> H2O(8) + C5H11-1(420),[OH]+CCCCC_O+[CH2]CCCC
2626,2626,O(5) + pentane(1) <=> OH(15) + C5H11-1(420),[O]+CCCCC_[OH]+[CH2]CCCC
2627,2627,CH3(18) + pentane(1) <=> CH4(10) + C5H11-1(420),[CH3]+CCCCC_C+[CH2]CCCC
2628,2628,HO2(16) + pentane(1) <=> H2O2(17) + C5H11-1(420),[O]O+CCCCC_OO+[CH2]CCCC
2629,2629,C2H3(22) + pentane(1) <=> C2H4(11) + C5H11-1(420),[CH]=C+CCCCC_C=C+[CH2]CCCC
2630,2630,C5H11-1(420) + pentane(1) <=> C5H11-2(421) + pentane(1),[CH2]CCCC+CCCCC_C[CH]CCC+CCCCC
2631,2631,C5H11-1(420) + pentane(1) <=> C5H11-3(422) + pentane(1),[CH2]CCCC+CCCCC_CC[CH]CC+CCCCC
2632,2632,O2(2) + pentane(1) <=> HO2(16) + C5H11-1(420),[O][O]+CCCCC_[O]O+[CH2]CCCC
2633,2633,C5H11-1(420) <=> C2H4(11) + NC3H7(92),[CH2]CCCC_C=C+[CH2]CC
2634,2634,C5H11-1(420) <=> C5H11-2(421),[CH2]CCCC_C[CH]CCC
2635,2635,C5H11-1(420) <=> C5H11-3(422),[CH2]CCCC_CC[CH]CC
2636,2636,C2H5(33) + C5H11-1(420) <=> C2H4(11) + pentane(1),C[CH2]+[CH2]CCCC_C=C+CCCCC
2637,2637,NC3H7(92) + C5H11-1(420) <=> C3H6(12) + pentane(1),[CH2]CC+[CH2]CCCC_C=CC+CCCCC
2638,2638,HCO(19) + C5H11-1(420) <=> CO(6) + pentane(1),[CH]=O+[CH2]CCCC_[C-]#[O+]+CCCCC
2639,2639,C5H11-1(420) + C5H11-2(421) <=> C5H10-2(424) + pentane(1),[CH2]CCCC+C[CH]CCC_CC=CCC+CCCCC
2640,2640,C5H11-1(420) + C5H11-3(422) <=> C5H10-2(424) + pentane(1),[CH2]CCCC+CC[CH]CC_CC=CCC+CCCCC
2641,2641,O2(2) + C5H11-1(420) <=> C5H11O2-1(435),[O][O]+[CH2]CCCC_CCCCCO[O]
2642,2642,C5H11O2-1(435) <=> C5H10OOH1-3(442),CCCCCO[O]_CC[CH]CCOO
2643,2643,C5H11O2-1(435) <=> C5H10OOH1-4(443),CCCCCO[O]_C[CH]CCCOO
2644,2644,C5H10OOH1-3(442) <=> C5H10OOH1-4(443),CC[CH]CCOO_C[CH]CCCOO
2645,2645,C5H10OOH1-4(443) <=> OH(15) + C5H10O1-4(453),C[CH]CCCOO_[OH]+CC1CCCO1
