i,name,SMILES,unique_string
3955,CH3O(31) + C5H9O1-3(430) <=> CH3O2(45) + C5H91-3(425),C[O]+C=CC([O])CC_CO[O]+C=C[CH]CC,30+198=36+144
3956,C2H5O(49) + C5H9O1-3(430) <=> C2H5O2(47) + C5H91-3(425),CC[O]+C=CC([O])CC_CCO[O]+C=C[CH]CC,40+198=38+144
3957,C5H9O1-3(430) <=> C2H5(33) + C2H3CHO(74),C=CC([O])CC_C[CH2]+C=CC=O,198=32+47
3958,C5H9O1-3(430) <=> C2H3(22) + C2H5CHO(76),C=CC([O])CC_[CH]=C+CCC=O,198=25+186
3959,C2H4(11) + C2H5CHO(76) <=> H(14) + C5H9O1-3(430),C=C+CCC=O_[H]+C=CC([O])CC,14+186=17+198
3960,HO2(16) + CdCCdCC(334) <=> O(5) + C5H9O1-3(430),[O]O+C=CC=CC_[O]+C=CC([O])CC,19+146=8+198
3961,O2(2) + C5H91-3(425) <=> O(5) + C5H9O1-3(430),[O][O]+C=C[CH]CC_[O]+C=CC([O])CC,5+144=8+198
3962,C=CC(CC)O[O](17977) <=> O(5) + C5H9O1-3(430),C=CC(CC)O[O]_[O]+C=CC([O])CC,259=8+198
3963,CCC=CCO[O](22295) <=> O(5) + C5H9O1-3(430),CCC=CCO[O]_[O]+C=CC([O])CC,260=8+198
3964,C5H9O1-3(430) <=> O(5) + C5H91-3(425),C=CC([O])CC_[O]+C=C[CH]CC,198=8+144
3965,OH(15) + CH2O(9) <=> HOCH2O(39),[OH]+C=O_[O]CO,12+18=180
3966,HOCH2O(39) <=> H(14) + HOCHO(40),[O]CO_[H]+O=CO,180=17+35
3967,HO2(16) + CH2O(9) <=> O(5) + HOCH2O(39),[O]O+C=O_[O]+[O]CO,12+19=8+180
3968,O2(2) + HOCH2O(39) <=> HO2(16) + HOCHO(40),[O][O]+[O]CO_[O]O+O=CO,5+180=19+35
3969,HO2(16) + HOCH2O(39) <=> H2O2(17) + HOCHO(40),[O]O+[O]CO_OO+O=CO,19+180=20+35
3970,CH2(23) + HOCH2O(39) <=> HOCHO(40) + CH3(18),[CH2]+[O]CO_O=CO+[CH3],26+180=21+35
3971,HOCH2O(39) + HCCO(27) <=> HOCHO(40) + CH2CO(24),[O]CO+C#C[O]_O=CO+C=C=O,110+180=27+35
3972,HOCH2O(39) + C5H11-3(422) <=> HOCHO(40) + pentane(1),[O]CO+CC[CH]CC_O=CO+CCCCC,180+193=35+179
3973,HOCH2O(39) + C5H11-2(421) <=> HOCHO(40) + pentane(1),[O]CO+C[CH]CCC_O=CO+CCCCC,180+192=35+179
3974,HOCH2O(39) + C5H11-1(420) <=> HOCHO(40) + pentane(1),[O]CO+[CH2]CCCC_O=CO+CCCCC,180+191=35+179
3975,OH(15) + HOCH2O(39) <=> H2O(8) + HOCHO(40),[OH]+[O]CO_O+O=CO,18+180=11+35
3976,HCO(19) + HOCH2O(39) <=> CH2O(9) + HOCHO(40),[CH]=O+[O]CO_C=O+O=CO,22+180=12+35
3977,CH3(18) + HOCH2O(39) <=> HOCHO(40) + CH4(10),[CH3]+[O]CO_O=CO+C,21+180=13+35
3978,HOCH2O(39) + C2H3(22) <=> HOCHO(40) + C2H4(11),[O]CO+[CH]=C_O=CO+C=C,25+180=14+35
3979,HOCH2O(39) + C3H5-A(94) <=> HOCHO(40) + C3H6(12),[O]CO+[CH2]C=C_O=CO+C=CC,50+180=15+35
3980,H(14) + HOCH2O(39) <=> H2(13) + HOCHO(40),[H]+[O]CO_[H][H]+O=CO,17+180=16+35
3981,HOCH2O(39) + C5H92-4(428) <=> HOCHO(40) + C5H10-2(424),[O]CO+C[CH]C=CC_O=CO+CC=CCC,180+196=35+195
3982,HOCH2O(39) + C5H91-3(425) <=> HOCHO(40) + C5H10-2(424),[O]CO+C=C[CH]CC_O=CO+CC=CCC,144+180=35+195
3983,HOCH2O(39) + CH2CHO(21) <=> HOCHO(40) + CH3CHO(35),[O]CO+[CH2]C=O_O=CO+CC=O,24+180=33+35
3984,HOCH2O(39) + CH3CO(20) <=> HOCHO(40) + CH3CHO(35),[O]CO+C[C]=O_O=CO+CC=O,23+180=33+35
3985,HOCH2O(39) + C4H71-3(191) <=> HOCHO(40) + C4H8-1(189),[O]CO+C=C[CH]C_O=CO+C=CCC,63+180=35+61
3986,HOCH2O(39) + C4H71-4(192) <=> HOCHO(40) + C4H8-1(189),[O]CO+[CH2]CC=C_O=CO+C=CCC,64+180=35+61
3987,HOCH2O(39) + C4H71-1(193) <=> HOCHO(40) + C4H8-1(189),[O]CO+[CH]=CCC_O=CO+C=CCC,65+180=35+61
